tweet,class
 Kama ck ile wew ulivokuwa unanuka kwenye msiba wa Ruge kule kagera,ABUSIVE
 Anataka comments tu uyu pimbi,ABUSIVE
 Ww aliyekutuma uwanuse nani?!!!!??,ABUSIVE
 Umekutan mjin hap au uliopolewa na mhuni toka Buza we mbwaa,ABUSIVE
 Yaani toka tumegoma kuowa mkolechi imekuwa nongwa kwanini unalazimisha bifu na wanaume? Si ujioe kama ulivyotutangazia hizi ni dalili za umalaya,ABUSIVE
 Pumbavu zako hao ni WAVULANA,ABUSIVE
 Una mimba ww ....????,ABUSIVE
 Diva nafikiri majibu umeyapata uliza swali lingne,NOT
 we utakuwa unasagan we sio mzima kbx,ABUSIVE
 Ukitaka kujua wanao nuka duniani niwanawake (1) wantembea na pedy sehem ya Siri mbili wana toka jasho 24 hrs tatu Wana wana jipodoa mwisho swali kwa diva unapata mwanaume lini au ndoa yako lini wazuri wajiuza wabaya wajitembeza jiangaliye ul,ABUSIVE
 ?????? hujawahi kuwa na akili,ABUSIVE
 Eeh embu angalia vizur maan yawezekan unayemdhania ananuka kumbe wew ndo muhusik unamsingizia broo wawatyu...,ABUSIVE
" Watu kama hawa ndo wanasababisha ile ""research ya katika kila watanzania 20 watano wana shida ya network iwe VALID "" nadhan huwa unatafta attention sana through this ili upate fame milleage.",ABUSIVE
 Nani wa kutoa milioni 500 kwa hizi ndala,NOT
Tunamfanyaje huyu?,NOT
 Mwacheni huyo yuko na stress za kupata bwana anayenuka 500m hivyo lazima abwabwaje tu,ABUSIVE
 We tushakuzoea sjui wanaume tushakukosea nin,NOT
" Ngoja kwanza,twende pole pole wananuka nini?jasho,mkojo,kinyesi ama nini?dadavua kidogo",ABUSIVE
 Tunaogopa kunuka maji ndo maana hatuogi nadhani sauti iko sawa,ABUSIVE
 Endelea tuu kutafuta Attention ya watu.. Utapata unachokitaka ??,NOT
 ila pesa zetu zinanukia balaa,NOT
 tuko bize tunatafuta zile 500millions kwaajili ya kukuoa.,NOT
 Hao wafanyakazi wenzako wa clouds,NOT
 Huyu ndo wa zile million 500!? Au shil 500.,NOT
" We una matatizo gani na kufake mwili Wako MAra wigi, kope.. Hujielewi na hujihamini",ABUSIVE
 Angalia hilo sura. Ndio level zako hizo ndio maana unanuka nao @abdulazackabdul njoo unisaidie huyu ni nani?.. kwako @mwlkashasha,ABUSIVE
 Tukioga ndio kipato kinaongezeka?,NOT
 Ndo tatizo la Kudate na Vitoto vya Miaka 19 visivyojielew unaona kila mtu ananuka tuu.,ABUSIVE
 Ni yeye uliyepishana nae,NOT
 Sisi n mabeberu ww jike tulia,ABUSIVE
" Hili si doli hili, uwezo wa kupata harufu linautoa wapi?",ABUSIVE
 Hukujamba kweliii....??????,ABUSIVE
 Njoen mlickie hili bumunda lataifa limelopoka tena huku??,ABUSIVE
 Tumepishana mida ya kazi,NOT
 Ukiona hivyo alikuwa anatoka kwenye mbunye isiyooshwa,ABUSIVE
 Tatizo hilo.analo baba tu na si wanaume wote,NOT
 Nimeshajua huwa anafanya makusudi tu hamjamuelewa nyinyi,NOT
 Diva ujue we taira km mataira wengine,ABUSIVE
 Jipake hiyo harufu ugumba utakutoka,ABUSIVE
 hajapigwa mgelegele huyu anadhani kila mti ni mbuyu,ABUSIVE
" Tulizana mtoto, tunasaka pesa tuje tukuhongee..",NOT
 Busy kuzichanga,NOT
 Tutanuka lkn hatushindi harufu ya hilo kuma lako,ABUSIVE
 Yaani wewe loh,NOT
 Afadhali wanaume anaenuka kuliko ww unaevuja dam kilamwezi ,ABUSIVE
 Mnatuambia tutafute hela sasa hizo hela tunazitafutaje bila kuvuja jasho.acha kututafuta bana mbona umetuandama wakurungwa.,ABUSIVE
 Anasema mwanamke anayenuka mbunye,ABUSIVE
" Wewe hyo m.500 Ina kusumbua , weka dau Dasi yani (5,000) chap tu Mabaharia Tupo",NOT
" Mwanaume kuoga wakati hujafanya chochote, hayo ni matumizi mabaya ya maji????",NOT
 Na baba ako pia akiwemo kumbuka,NOT
 Ndo uwanaumme mbona ata beberu hunuka ndo tulivo pia inategemea na mishe mwanaume anazopiga,ABUSIVE
 Iyo ndo SIFA kuu ya MWANAUME........mm nakatiza2 ???? @bob_mchelsea,NOT
 Wew mbona unanuka uchi hatuongei,ABUSIVE
 wananuka ajee!? ??,NOT
 Nyie hamunuki,NOT
 Daaah m inakuwa ngumu kuwajibia mana wao ndio wanamajibu sahihi,NOT
 Mwanaume atakula kwa jasho wacha anuke,ABUSIVE
 Tatizo lilianzia hapa baada ya kuvua mask,NOT
 Ngoja nimalize kula utanitambua,NOT
 at ww pua ako inamatatzo inanusa vp wenzake,NOT
" Wee kaa uchi na hao uliopishana nao wakae uchi. Uone inzi ataanza kutua wapi, ndio utajua nani ananuka kati yako na wao!??",ABUSIVE
 Ss no km mafuta hatuchangaman wacha tunukie ubeberu tuu ????,ABUSIVE
" Sasa si ungewaambia,unawaacha wanaenda haya sasa humu hata hawapo,ujumbe utawafikia je?",NOT
 Hujawaona vizuri Watakuwa wameshikilia mapumbu ya baba yako mkononi mwao hao wanaume,ABUSIVE
 si kwani tunawaza iyo tabu unaiona ww,NOT
 Kmmk olewa tu utakufa kibudu wew,ABUSIVE
 We ni lazima unaishi jirani na dampo,ABUSIVE
 utakufa na hicho kiburi ndio utakua mwisho wako,ABUSIVE
 Huyoo ndo mwanaume sasa sio kimwanaume chako kinanukia hadi tunakitamani Kupita nacho,NOT
 Kwann unatembea kwa miguu?,NOT
 Kati ya sisi na nyie nani wananuka swine wewe,ABUSIVE
 Hata ww unanuka km huamini weka kidole chako pale kati alafu nusa utapata jibu...mpuuzi was mashaka ww.,ABUSIVE
" Breech mechanism hyo,hembu tuache aisee,hyohyo ndio aliesababisha akaja duniani leo ananuka daah....kweli sio kila mzee anabusara??????????????????",NOT
 Tunawanyonya sana mnatuambukiza harufu zenu,NOT
 Watakua wanafanya kazi clouds media,NOT
" We kila siku wanaume Wananuka, are you sure is not the other way around?",ABUSIVE
 Kwani wakinuka pesa wewe unateseka nini haswa?,NOT
 Acha matumi mama wewe,NOT
 Unateseka sana we kibibi,NOT
 Wameshindwa hata kusugua na makoko hayo makwapa yao #somethingsill,NOT
 Umepishana na Crazy GK LABDA,NOT
 Mabwana zako wananuka sio,ABUSIVE
 Una uhakika kuwa ni wao wanao nuka,NOT
" Mbona na ww unanukaga sema tunakukaushia tu, we unadhani ile harufu ya period uwa hatuisikii? Tunakaushaga tu ili ujione na ww ni thamani kdg, maana najua ww unapendaga praise",ABUSIVE
" Mi nawashauri ndugu zangu. Huyu mtu msi ""like, retweet wala comment"" itasaidia Sana kuacha kutuma Utumbo wake huu. Nyie someni Kisha sepeni. Atabadirika mwenyewe!! (Nime comment ili nifikishe ujumbe lkn sio kuchangia mada ya mtoa post.)",ABUSIVE
 Wewe mwenyewe hakuna mtu anaweza kukaa karibu yako unanuka mdomo anaekuvua nguo anakuvumiliaga tu ????????,ABUSIVE
 Tia kidole Chako kwenye uchi wako kisha nusa yawezekana ni harufu yako mwenyewe,ABUSIVE
" sijaona uzuri wa huyu dema kabisa,kila kitu fake.",NOT
 Sababu ya upungufu wa akili labda angekuwepo Ruge amwambie diva anza kutumia akili usipost ujinga mitandaoni... pengine ndio angeweza kujielewa na post zake za kikuhadi ...ila kwa kua hayupo hawezi kuja kuwa na akili huyu.,NOT
 Asa una muuliza nani?? Wakat hao watuu ushapishana nao...Idiot,ABUSIVE
 Ni ya chumvi,NOT
" Kuzaa utazaa tu na watakaokufanya upate ujauzito ni hao hao wanaume, sijui nini kinakufanya unawakashfu kiasi iicho usitukane wakunga na uzazi ungalipo wee binti",NOT
 Umejinusa lakn labda sio wao ni wewe,ABUSIVE
 umenisikitisha sana,NOT
 mishavu imelegea wew ????,NOT
" Wewe mwenyewe uliwahi kusema hupendi kuoga mara kwa mara, mashauzi yatakuua wewe mwanamke",ABUSIVE
 The same! K?? yako inanuka Sana aisee??,ABUSIVE
 Ni kweli uyasemayo au ndo zile chuki tuu baada ya kikao chetu cha kugomea kutoa Million 500 kwa kununua sura ya kufanana na tikiti maji ????????,NOT
 Ndio aina ya wanaume unaovutiwa nao,NOT
" You really need to see a doctor, that can be a sign critical mental disorder.",ABUSIVE
" Mbwa weee Kunuka kwao ndo wanakutaftia hela ,unaposema Tuma na ya kutolea uwe na huruma",ABUSIVE
" Wwewe mpuuzi sana,na u ta tanga sana na hii dunia,Mwanaume kazi lazima anuke jasho nk. We tegemea hicho kisima chako kimeshatibuka hutamuona mtekaji",ABUSIVE
 .....sa si ndio,NOT
 Hujapishana na Emmanuel lema kadonya ??,NOT
 Itakua waltoka kazin mdahuo huo,NOT
 Wananuka wananukia?,NOT
 yakunuka,ABUSIVE
 Mbna nyie mnanuka pussy na tunawavumilia??,ABUSIVE
 Unazigua!!! Bila hao wanaume ungezaliwa ww,NOT
 Hatuna tatizo na maji ila tuna tatizo na kunguru anaye washangaa kunguru wenzake kula mizoga ??,ABUSIVE
 tuliumbwa kwa udongo ,NOT
" Wanaume si watu wa urembo kama nyinyi mwanaume ni kazi 85%hivyo usishangae kunuka kwake ,na ndiyo nyie mnasema tuma na ya kutolea?",ABUSIVE
 We mwenyewe unanuka mawigi.,ABUSIVE
 Wananuka kama wewe tuuu,ABUSIVE
" Sema unajua kunusa, why not mind your business? ??????",NOT
" Some men are hydrophobia,,I being one of them",NOT
" Nyama choma haioshwi bwana, alafu kilichokuleta buza kwa miguu ni nini? ????",NOT
 Kuna wadada nimepishana nao Jana nikatema mate wana makalio lakin KWA ile harufu htA nyuma sikugeuka????,ABUSIVE
 ?????? naikonda iyo ni mbama najua ndogo swahili,NOT
 Muulizeni yeye anabarisha chupi Mara ngapi kwa Kama siyeye anaye nuka kila mara mwanaume tafauti Sana mwanamke hebu jaribu kushinda bila kuonga uone shombo yake,ABUSIVE
 Bili ya maji hujaiona?,NOT
 Sema hukua makini tu yawezekana chupi yako ilikua upande,ABUSIVE
 Sabuni na vinukio ndio shida yetu..kama nyie kwenye naniu,NOT
 Wanaume wote waliokupitia wanasema wewe kinuka mkojo na harufu yako kama ya ule mtaro wa tandale kwa tumbo . Sasa harufu yako mwenyewe unasingizia wanaume.,ABUSIVE
 Wakulungwaaaa,NOT
 Kwani wewe unavyonuka hiyo kitu baada ya Mechi una tatizo gani?,ABUSIVE
 Kwanza ungeanza kumuuliza baba yako akikupa jibu ndiyo hilo hilo linawahusu wanaume wote,NOT
 Kumbe x wako ndo una mchana kijanja,NOT
 Uyi dem ni mngese jamani khaaa,NOT
 Nawe k yako bado inanuka kama zaman au,ABUSIVE
 Hako kaharufu.. Wife materials ndio huwaga wanakaelewa...,NOT
 Wako wangapi hao wanume,NOT
 Unawasema wafanyakazi wenzako sindio,NOT
" Me nadhan washkaj wanaokutia ndo wako ivo coz huish kujilalamisha mara wananuka boxer, mara mdomo leo tena jasho...duu unakwama wap we kobe",ABUSIVE
 wewe mbona K yako ina nuka sisi atu kutangazi,ABUSIVE
 Kwan walikuomba uwanuse sjui wewe kikojozi una shida gani,ABUSIVE
 Kama papuch yako inavyonuka,ABUSIVE
" Mwnaume hanuki jasho,ananuka nguvu ????",NOT
 We mwenywe unanuka... Una matundu kila sehemu sasa nan ananuka zaidi kama sio wewe,ABUSIVE
 Ndo haoo wanakugonga jitie kidole Kisha inua juu utamwona inzi Ina Mana nawewe unanuka k we,ABUSIVE
 Utakua tu hupatani na pafyumu walizokua wamejipulizia,NOT
 Umepishana nao vp wakati wew upo kwenye gari na wenzio wanatembea na miguu??????????,NOT
 Tena ww ukishinda juani kutwa sipat picha shombo lake ??????????????????,ABUSIVE
 yani haka ka kima kangezaliwa kazuri hata kumfikia mke wangu naona tusinge hata kula hap Tr,ABUSIVE
 Hivi ww ushajinusa harufa yako,ABUSIVE
 siunge wauliza?,NOT
 Ile harufu yako ya kisamaki imeisha,ABUSIVE
 Wameoga jasho,ABUSIVE
 Asante kwa matusi yako lkn jasho letu linakufanya upendeze apo,NOT
 Ni hao ulio pishana nao dad,NOT
 Hapo utakuwa wewe ndio ulikuwa unanuka K na ulijamba bila shaka acha kusumbua watu humu,ABUSIVE
 Na wewe kumbe unatembea kwa miguu mama?,NOT
 Huyu anawashwa,ABUSIVE
 Maji ya dar yana chumvi,NOT
 subiri nawe muda wako utafika wala hutojua,NOT
 Unatukana tunaokuweka mjini bwege wewe!! Au umesahau ulikuwaga na baba,ABUSIVE
 Ile Siku Ulijamba Pale Mbagala Mtoto Akapiga Chafya Kuna Mtu Alitweet ???????,ABUSIVE
 Mmh maji yp hoyo,NOT
 Falaaaa,ABUSIVE
 Mfu ulie hai unajiona kana kwamba baba ako alichangia miti wakati Mungu anaumba mbingu na ardhi na vilivyomo,ABUSIVE
 Ulitumwa kuwa nusa na inatuhusu nn,NOT
Wewe unaoga mara ngapi kwa siku kama wewe ni mwanamke unayejitambua ili tuanze conversation,NOT
 We matako yanakuwash,ABUSIVE
 Wakati anakuja kukuhonga hutasikia hiyo halafu.,NOT
 Kama dampo la chanika limehamia clouds sipingani na wewe,ABUSIVE
 Mm kilio changu ni kwa nyie wanaume wa Dar..... Hii pimbi mnailea kwann?,ABUSIVE
 Kikubwa uhai tu,NOT
 Haohao ndo wanakugeuza ww,ABUSIVE
 Yaani wewe kwa jinsi unavyofatilia harufu za wanaume ungekuwa jeshini ungekuwa kwenye kikosi cha mbwa maalum kwa ajili ya kunusa mabomu yaliotegwa,ABUSIVE
" Itakua kuma yako ndo ilikua inanuka, yaan nipo kwenye mchakato wa kukupata hata kwa ma milioni lengo nikudhalilishe fala wew",ABUSIVE
" Huna akili , mwanaume hanuki ananukia ??",ABUSIVE
 Ata uwe msafi vp UKIJAMBA UWEZIKUVUA NGUO usiukumu wengine nawe hautoukumiwa unaonaje kibanzikilichopo ndani la jicho la nduguyo angali ufikili boliti ililopo ktk jicho lako basi ukitambua ivyo ata wwe unanuka cozi kilamwana damu na halufu y,ABUSIVE
 eeeeeeh dah qumqqqqqqqqkkk nyokoooo,ABUSIVE
" Acha zarau diva dunian tuna pita maisha haya ,",NOT
 Huyu limbukeni kachanganyikiwa??????,ABUSIVE
 Mbona wewe ukiwa ile siku unanuka watu awasemi,ABUSIVE
 Wqna matatizo km ulonayo,NOT
" Hatuna mda wa kuoga, tupo bize kutafuta mil 500 za mahari",NOT
 Kawachotee maji Ukawaoshe.! Kwa ni Tatizo liko wapi.?,NOT
 Unanusa wanaume umekuwa mbwa wewe au unatafuta nin,ABUSIVE
" Afadhari hata sisi vidume,weeusipoosha hilo shimo kwa kutwa moja tuu yao viza linaafadhari.",ABUSIVE
 Maji bhana si kitu kizur,NOT
 Huyu mwanamke anajua sababu gani watu wamemtumia na kumuacha bila kumuoa? Ana sura na umbo zuri ila ana maji mengi sana hadi analowanishaga kitanda. Yaani ukilala nae ni kama amejikojolea kitandani. Pili ana shombo fulani kama ya nguruwe. Ta,ABUSIVE
 Tatzo liko kwako unatumia chemicals hivyo ukipishana na wanaume ambao ni anti cosmetics reactions ni lazima hasa ukianza kutoa jasho. Ole wako unyeshewe mvua,ABUSIVE
" Kwanini unaendeleza tabia yako ya kuwanusanusa wanaume? Juzi uliwanusa miguu na viatu, leo tena, sijui kesho utawanusa wapi!",ABUSIVE
 Uliuliza wanatoka wapi??? People hustle unaongelea harufu ...... Duh,NOT
 Mbn nyinyi wanawake huwa mna harufu mby ukeni tena wa muoekano wako lkn wanaume tunavumilia tuu afu,ABUSIVE
 sikufichi una sura nzito ka wimbi LA uji ila ujijui tuu,ABUSIVE
 Mwanaume kunukia muda wote huo ni udada,ABUSIVE
 Maji ni muhimu kwa kupokia ma kunywa tyu hayo mengne ADDITION,NOT
 Takataka wewe ,NOT
 Pesa yangu lini?,NOT
 Na Mimi nimepishana na mwanamke ananuka sijui mnakwama wapi,ABUSIVE
" Tunanuka Kweli, Rakini Tuna Kizazi Wewe Je? ??????",ABUSIVE
 Wananuka kama ile harufu ya baba yako si ndiyo?,ABUSIVE
 Tukioga tunawashwa,NOT
" Wameoza ama nini? Au,umeshindwa kung'amua harufu zao?",ABUSIVE
 ??????si upo KAMACHUMU watu wametoka kupalamia Migomba uko,NOT
 Maji yenyewe yananuka,NOT
 Bora wakiume akinuka inaelezeka... umewahi jishtukia wewe unavyonukaga... utahama dunia,ABUSIVE
" My sister day to day goes you mental breaking down, be care finally you will be crazy",ABUSIVE
 Uache kunuka wewe mwenye donda ndugu unawasingizia wanaume.Kaoge ulale nyau wewe.,ABUSIVE
 Yaani mwenyewe nimepanda mwendokasi hapa Morocco kuna jamaa nahisi ananuka gari nzima,ABUSIVE
